City,URL,Title,DatePosted

denver,https://denver.craigslist.org/apa/d/remodeled-2-bed-duplex-in/6735257113.html,Remodeled 2 bed Duplex in Congress Park/City Park,Oct 28

denver,https://denver.craigslist.org/apa/d/beautiful-3-bedroom-duplex/6735249170.html,Beautiful 3 Bedroom Duplex For Rent In Broomfiel,Oct 28

denver,https://denver.craigslist.org/apa/d/duplex-for-rent-3-bd-15-bath/6735200106.html,Duplex for rent 3 Bd 1.5 Bath,Oct 28

denver,https://denver.craigslist.org/apa/d/duplex-with-lots-of-space-d/6730121335.html,Duplex with LOTS of space - W/D - Storage - Off Street Parking,Oct 28

denver,https://denver.craigslist.org/apa/d/1-bed-duplex-in-the-middle-of/6723875747.html,1 bed duplex in the middle of the West Highlands  - Walk to tons!,Oct 28

denver,https://denver.craigslist.org/apa/d/west-wash-park-duplex/6717661721.html,West Wash Park Duplex,Oct 27

denver,https://denver.craigslist.org/apa/d/short-term-all-included/6734470646.html,Short-term/All included/furnished half duplex,Oct 27

denver,https://denver.craigslist.org/apa/d/remodeled-4-bedroom-2-bath/6734402199.html,Remodeled 4 bedroom 2 bath Duplex with Garage,Oct 27

denver,https://denver.craigslist.org/apa/d/duplex-near-light-rail-patio/6730789379.html,"Duplex Near Light Rail; Patio, Extra Storage (63)",Oct 27

